gene,human_disease_association
Sep-08,"Atopic dermatitis, Allergic rhinitis, Hodgkin's lymphoma, Psoriasis, Alopecia areata"
TAB1,"Inflammatory bowel disease, Primary biliary cholangitis, Rheumatoid arthritis, Crohn's disease"
TAB2,"Atrial fibrillation, Breast carcinoma, Crohn's disease, Plantar fascial fibromatosis"
TAC1,Attention deficit hyperactivity disorder
TAC3,"Attention deficit hyperactivity disorder, Asthma, Allergic rhinitis"
TACC2,"Chronic lymphocytic leukemia, Attention deficit hyperactivity disorder"
TACC3,Osteoarthritis
TACR2,"non-alcoholic fatty liver disease, Vascular disease"
TAF11,"Prostate carcinoma, Heart disease, Systemic lupus erythematosus"
TAF1A,"Heart disease, Myocardial infarction"
TAF1B,"Prostate carcinoma, Cleft lip"
TAF2,Idiopathic pulmonary fibrosis
TAF3,"Alzheimer's disease, Asthma, DOID:7061, Rheumatoid arthritis, Hodgkin's lymphoma, Hodgkin's lymphoma, nodular sclerosis, Colorectal cancer, Acute lymphoblastic leukemia"
TAF5,"Attention deficit hyperactivity disorder, Anorexia nervosa"
TAF6,"Idiopathic pulmonary fibrosis, Chronic obstructive pulmonary disease"
TAF8,Inflammatory bowel disease
TAGAP,"Celiac disease, Attention deficit hyperactivity disorder, Rheumatoid arthritis, Crohn's disease, Psoriasis"
TAL1,Endogenous depression
TALDO1,"Primary biliary cholangitis, Chronic obstructive pulmonary disease, Bronchitis"
TANC1,"Colorectal adenoma, Colorectal cancer"
TANC2,"Alzheimer's disease, Hodgkin's lymphoma, Cleft lip"
TANGO6,"Skin melanoma, Colorectal cancer"
TANK,"Attention deficit hyperactivity disorder, Hypothyroidism, Endogenous depression"
TAOK1,Heart disease
TAOK2,"Autism spectrum disorder, Abdominal obesity-metabolic syndrome 1, Dental caries, Bipolar disorder"
TAP1,"Autism spectrum disorder, Lymphoma, Membranous glomerulonephritis, Kawasaki disease, Hepatitis B, Takayasu's arteritis, IgA glomerulonephritis, Lung carcinoma, Cervical cancer, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Skin melanoma, Degenerative disc disease, Psoriatic arthritis, Systemic lupus erythematosus"
TAP2,"Autism spectrum disorder, Lymphoma, Kawasaki disease, Hepatitis B, Takayasu's arteritis, IgA glomerulonephritis, Lung carcinoma, Cervical cancer, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Skin melanoma, Degenerative disc disease, Psoriatic arthritis, Systemic lupus erythematosus"
TAPBP,"triple-receptor negative breast cancer, Endogenous depression, Cervical cancer"
TAPBPL,"Celiac disease, Juvenile rheumatoid arthritis, Crohn's disease"
TARDBP,"Androgenic alopecia, Ewing sarcoma"
TARM1,Alcoholic liver cirrhosis
TARS2,"Osteoarthritis, Anorexia nervosa"
TAS1R2,Cleft lip
TAS1R3,"Inflammatory bowel disease, Ulcerative colitis"
TAS2R1,Heart disease
TAS2R7,Heart disease
TAS2R8,Heart disease
TAS2R9,Heart disease
TAT,Prostate carcinoma
TATDN1,Peripheral artery disease
TATDN2,Autism spectrum disorder
TATDN3,Leprosy
TAX1BP1,"Prostate carcinoma, Hypospadias, Allergic rhinitis"
TBC1D10A,"Heart disease, Rheumatoid arthritis, Crohn's disease"
TBC1D12,"Esophageal carcinoma, Esophagus squamous cell carcinoma, Stomach carcinoma"
TBC1D13,Allergic rhinitis
TBC1D21,"Heart disease, Exfoliation syndrome"
TBC1D32,Focal epilepsy
TBC1D3F,Chronic kidney disease
TBC1D5,"Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Myocardial infarction"
TBC1D8B,Alcoholic pancreatitis
TBC1D9,Prostate carcinoma
TBCK,Chronic obstructive pulmonary disease
TBKBP1,Autoimmune thyroiditis
TBL1X,Colorectal cancer
TBL2,"Disease of metabolism, Abdominal obesity-metabolic syndrome 1"
TBL3,Atrial fibrillation
TBPL1,"Heart disease, Myocardial infarction"
TBPL2,Testicular germ cell cancer
TBRG4,"Colorectal adenoma, Heart disease, Colorectal cancer"
TBX1,"Idiopathic scoliosis, Prostate carcinoma, open-angle glaucoma"
TBX15,Androgenic alopecia
TBX2,"Hypertension, Gout, Nephrolithiasis"
TBX20,"Heart disease, Myocardial infarction"
TBX21,Autoimmune thyroiditis
TBX3,"Atrial fibrillation, Hypertension, Prostatic hypertrophy, Endometrial carcinoma, Breast carcinoma, Colorectal cancer"
TBX4,"Hypertension, Gout, Nephrolithiasis, Osteoarthritis"
TBX5,Atrial fibrillation
TBX6,Hodgkin's lymphoma
TBXA2R,Skin melanoma
TBXAS1,"Heart disease, Myocardial infarction"
TC2N,Vascular disease
TCAP,"Inflammatory bowel disease, Marginal zone B-cell lymphoma, Primary biliary cholangitis, Bipolar disorder, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
TCEA2,"Restless legs syndrome, Heart disease, Abdominal obesity-metabolic syndrome 1"
TCEANC2,Hodgkin's lymphoma
TCERG1L,Crohn's disease
TCF12,Atrial fibrillation
TCF19,"Cutaneous lupus erythematosus, Stevens-Johnson syndrome, Peripheral artery disease, Autism spectrum disorder, Leprosy, Prostate carcinoma, Membranous glomerulonephritis, Heart disease, Graves' disease, Behcet's disease, Hepatitis B, Takayasu's arteritis, Basal cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Systemic scleroderma, Allergic rhinitis, Human immunodeficiency virus infectious disease, Head and neck squamous cell carcinoma, Mature B-cell neoplasm, Ulcerative colitis, Psoriasis, Psoriatic arthritis, Multiple myeloma"
TCF20,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Endogenous depression, Bipolar disorder, Breast carcinoma"
TCF21,"Heart disease, Myocardial infarction"
TCF24,Intracranial aneurysm
TCF25,"Sensorineural hearing loss, Vitiligo, Cancer, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Photosensitivity disease, Neuroblastoma, Skin melanoma"
TCF3,Hodgkin's lymphoma
TCF4,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Sclerosing cholangitis, Endogenous depression, Bipolar disorder, Ulcerative colitis"
TCF7,"Hypothyroidism, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Systemic lupus erythematosus"
TCF7L2,"Peripheral artery disease, estrogen-receptor negative breast cancer, Prostate carcinoma, Thoracic aortic aneurysm, Breast carcinoma, Lung carcinoma, Chronic kidney disease, Psoriasis, Colorectal cancer, Diabetes mellitus"
TCHH,Allergic rhinitis
TCHHL1,Allergic rhinitis
TCN2,Creutzfeldt-Jakob disease
TCP10L2,"Primary biliary cholangitis, Rheumatoid arthritis"
TCP11,"Heart disease, Systemic lupus erythematosus"
TCP11L2,Glioblastoma
TCTA,"Heart disease, Osteoporosis, Endogenous depression, Endometriosis"
TCTE1,Rheumatoid arthritis
TCTE3,Attention deficit hyperactivity disorder
TCTEX1D1,Endogenous depression
TDGF1,Heart disease
TDP1,"Uveal melanoma, Uveal epithelioid cell melanoma"
TDRD10,"Atrial fibrillation, Atopic dermatitis, Allergic rhinitis, Myocardial infarction, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Abdominal aortic aneurysm"
TDRD15,"Heart disease, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Gastroesophageal reflux disease"
TDRD7,"Intracranial aneurysm, Esophagus adenocarcinoma, Barrett's esophagus"
TDRD9,"Attention deficit hyperactivity disorder, Endogenous depression"
TDRKH,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Heart disease, Allergic rhinitis, Myocardial infarction, Ulcerative colitis"
TEAD1,Attention deficit hyperactivity disorder
TEAD3,Autoimmune thyroiditis
TEC,"Rheumatoid arthritis, Crohn's disease"
TECPR1,Prostate carcinoma
TECR,"Pancreatic carcinoma, Nephrolithiasis"
TEF,"Vitiligo, Allergic rhinitis, Crohn's disease"
TEFM,"Cancer, Breast carcinoma"
TEKT5,Chronic obstructive pulmonary disease
TELO2,Heart disease
TENC1,Cleft lip
TENM2,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
TENM4,"Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Endogenous depression, Bipolar disorder"
TEP1,Takayasu's arteritis
TEPP,Chronic obstructive pulmonary disease
TERF1,Crohn's disease
TERF2IP,Attention deficit hyperactivity disorder
TERT,"Idiopathic pulmonary fibrosis, Colorectal adenoma, estrogen-receptor negative breast cancer, Brain glioma, Prostate carcinoma, Chronic lymphocytic leukemia, Prostatic hypertrophy, Uterine fibroid, Melanoma, Basal cell carcinoma, Testicular cancer, Glioblastoma, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Pancreatic carcinoma, Testicular germ cell cancer, Uveal melanoma, Oral cavity cancer, Skin melanoma, Systemic lupus erythematosus, Colorectal cancer, Nasopharyngeal disease"
TESK2,Chronic obstructive pulmonary disease
TESPA1,Allergic rhinitis
TET2,"Colorectal adenoma, Prostate carcinoma, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Chronic obstructive pulmonary disease, Breast carcinoma, Ovarian carcinoma, Ulcerative colitis, Colorectal cancer"
TET3,"Attention deficit hyperactivity disorder, Systemic lupus erythematosus"
TEX11,Prostate carcinoma
TEX12,Bipolar disorder
TEX14,"Testicular cancer, Testicular germ cell cancer"
TEX15,Abdominal obesity-metabolic syndrome 1
TEX2,"Heart disease, Myocardial infarction"
TEX26,Swine influenza
TEX28,Testicular germ cell cancer
TEX33,Allergic rhinitis
TEX37,Tooth agenesis
TEX38,Chronic kidney disease
TEX40,"Inflammatory bowel disease, Leprosy, Hypertension, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Vitiligo, Sclerosing cholangitis, Basal cell carcinoma, Crohn's disease, Psoriasis, Alopecia areata"
TEX43,"Osteoporosis, Colorectal cancer"
TEX9,Chronic lymphocytic leukemia
TF,Hemochromatosis type 1
TFAP2A,Breast carcinoma
TFAP2B,"Attention deficit hyperactivity disorder, Obesity"
TFAP2D,"Attention deficit hyperactivity disorder, Obesity"
TFCP2L1,"Behcet's disease, Testicular germ cell cancer"
TFEB,Colorectal cancer
TFF1,"Celiac disease, Vitiligo, Sclerosing cholangitis, Pancreatic carcinoma, Rheumatoid arthritis"
TFF2,"Celiac disease, Vitiligo, Sclerosing cholangitis, Pancreatic carcinoma, Rheumatoid arthritis"
TFF3,Pancreatic carcinoma
TFPT,"Alcoholic liver cirrhosis, Takayasu's arteritis"
TFR2,"Inflammatory bowel disease, Autoimmune thyroiditis"
TFRC,Asthma
TG,"Vitiligo, Graves' disease, Hypothyroidism, Autoimmune thyroiditis"
TGFA,Osteoarthritis
TGFB1,"Heart disease, Myocardial infarction, Osteoarthritis, Colorectal cancer"
TGFB2,Chronic obstructive pulmonary disease
TGFBR1,"Age related macular degeneration, Kuhnt-Junius degeneration, Allergic rhinitis"
TGFBR2,Breast carcinoma
TGFBR3,open-angle glaucoma
TGIF2,"Cancer, Melanoma"
TGM1,Language disorder
TGM3,Basal cell carcinoma
TGM4,Idiopathic pulmonary fibrosis
TGM6,Basal cell carcinoma
TH,"Prostate carcinoma, Cervical cancer, Type 1 diabetes mellitus"
THADA,"Inflammatory bowel disease, Androgenic alopecia, Prostate carcinoma, Polycystic ovary syndrome, Myocardial infarction, Crohn's disease, Psoriasis, Cleft lip, Diabetes mellitus"
THAP11,Abdominal obesity-metabolic syndrome 1
THAP2,Cleft lip
THAP3,Attention deficit hyperactivity disorder
THAP4,Inflammatory bowel disease
THAP6,Testicular germ cell cancer
THAP7,Testicular germ cell cancer
THBD,Vascular disease
THBS3,"Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
THBS4,Attention deficit hyperactivity disorder
THEGL,Chronic obstructive pulmonary disease
THEM4,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Heart disease, Allergic rhinitis, Myocardial infarction, Ulcerative colitis"
THEM5,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Heart disease, Allergic rhinitis, Myocardial infarction, Ulcerative colitis"
THEM6,"Duodenal ulcer, Stomach carcinoma, Atrophic gastritis"
THEMIS,"Inflammatory bowel disease, Chronic lymphocytic leukemia, Celiac disease, Attention deficit hyperactivity disorder, Idiopathic generalized epilepsy, Allergic rhinitis, Hodgkin's lymphoma, Crohn's disease"
THNSL1,post-traumatic stress disorder
THNSL2,Basal cell carcinoma
THRA,"Chronic obstructive pulmonary disease, Systemic scleroderma, Allergic rhinitis"
THRB,"Atrial fibrillation, Endogenous depression"
THSD4,"estrogen-receptor positive breast cancer, Chronic obstructive pulmonary disease, Breast carcinoma"
THSD7A,"open-angle glaucoma, Heart disease, Endogenous depression, Bipolar disorder"
THSD7B,Attention deficit hyperactivity disorder
THTPA,Atrial fibrillation
THUMPD1,Hodgkin's lymphoma
THUMPD2,"Age related macular degeneration, Attention deficit hyperactivity disorder"
TIAF1,"Endogenous depression, Bipolar disorder"
TIAL1,"Heart disease, Dilated cardiomyopathy"
TICAM1,"Idiopathic pulmonary fibrosis, Vitiligo, Hypothyroidism, Basal cell carcinoma"
TIE1,"Hypertension, Heart disease, Acute pancreatitis"
TIGD2,"Idiopathic pulmonary fibrosis, Attention deficit hyperactivity disorder, Chronic obstructive pulmonary disease"
TIGD7,"Attention deficit hyperactivity disorder, Ankylosing spondylitis"
TIMELESS,"Skin disease, Psoriasis"
TIMM10,"Hodgkin's lymphoma, Crohn's disease"
TIMM13,Sensorineural hearing loss
TIMM17A,"Heart disease, Endogenous depression, Myocardial infarction"
TIMM22,"Colorectal adenoma, Colorectal cancer"
TIMM23,Prostate carcinoma
TIMM9,"Attention deficit hyperactivity disorder, Heart disease, Vascular disease"
TIMMDC1,"Celiac disease, Primary biliary cholangitis, Vitiligo, Autoimmune thyroiditis, Systemic lupus erythematosus"
TIMP2,Atrial fibrillation
TIMP3,"Age related macular degeneration, Kuhnt-Junius degeneration, Chronic obstructive pulmonary disease, Acne"
TIMP4,"non-alcoholic fatty liver disease, Osteonecrosis, Hypothyroidism, Acne"
TINF2,Language disorder
TIPARP,"Melanoma, Ovarian carcinoma, Testicular germ cell cancer"
TIPIN,"Prostate carcinoma, Testicular germ cell cancer"
TKT,"Autism spectrum disorder, non-alcoholic fatty liver disease"
TKTL1,Testicular germ cell cancer
TLCD2,"Intracranial aneurysm, Hodgkin's lymphoma"
TLDC1,Eosinophilic esophagitis
TLE2,"Heart disease, Myocardial infarction"
TLE3,Atrial fibrillation
TLE6,"Heart disease, Myocardial infarction"
TLL1,Hepatocellular carcinoma
TLR1,Allergic rhinitis
TLR10,Allergic rhinitis
TLR3,"Hypothyroidism, Autoimmune thyroiditis"
TLR4,Endogenous depression
TLR6,Allergic rhinitis
TLR9,"Autism spectrum disorder, Bipolar disorder"
TLX1,"Scoliosis, Idiopathic scoliosis"
TM2D1,Attention deficit hyperactivity disorder
TM4SF4,"Gallbladder disease, Cholelithiasis"
TM4SF5,"Attention deficit hyperactivity disorder, Intracranial aneurysm, Systemic lupus erythematosus"
TM6SF1,Chronic obstructive pulmonary disease
TM6SF2,"non-alcoholic fatty liver disease, Alcoholic liver cirrhosis, Bipolar I disorder, Endogenous depression"
TM7SF2,"Abdominal obesity-metabolic syndrome 1, Acne"
TM7SF3,Hodgkin's lymphoma
TM9SF2,"Basal cell carcinoma, Asthma"
TM9SF4,Inflammatory bowel disease
TMBIM1,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Ulcerative colitis, Crohn's disease, Colorectal cancer"
TMC1,Psoriasis
TMC3,Primary biliary cholangitis
TMC4,"Alcoholic liver cirrhosis, Takayasu's arteritis"
TMC7,Herpes zoster
TMCC2,Skin melanoma
TMCO1,"open-angle glaucoma, Testicular cancer, Testicular germ cell cancer"
TMCO4,"Inflammatory bowel disease, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
TMED10,"Inflammatory bowel disease, Heart disease, Crohn's disease"
TMEM101,Bipolar disorder
TMEM102,"Atrial fibrillation, Uterine fibroid, Hypothyroidism, Central nervous system cancer, Autoimmune thyroiditis"
TMEM105,"Dental caries, Arthropathy"
TMEM106B,"Heart disease, Endogenous depression, Anxiety disorder, Bipolar disorder"
TMEM106C,Prostate carcinoma
TMEM107,Endogenous depression
TMEM109,"Inflammatory bowel disease, Ulcerative colitis, Crohn's disease"
TMEM110,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar I disorder, Endogenous depression, Osteoarthritis, Ulcerative colitis"
TMEM114,Autoimmune thyroiditis
TMEM116,"Esophageal carcinoma, Heart disease, Gout, Abdominal obesity-metabolic syndrome 1, Vascular disease, Hyperuricemia, Chronic obstructive pulmonary disease, Myocardial infarction, Psoriasis, Colorectal cancer, Cleft lip"
TMEM123,Prostate carcinoma
TMEM125,Acute pancreatitis
TMEM129,Osteoarthritis
TMEM131,Colorectal cancer
TMEM132A,"Inflammatory bowel disease, Ulcerative colitis, Crohn's disease"
TMEM132B,Attention deficit hyperactivity disorder
TMEM132C,Systemic lupus erythematosus
TMEM132E,Attention deficit hyperactivity disorder
TMEM135,"Inflammatory bowel disease, Bone disease"
TMEM136,"open-angle glaucoma, Heart disease, Skin melanoma"
TMEM145,Hodgkin's lymphoma
TMEM150A,"Prostate carcinoma, Heart disease, Breast carcinoma, Ovarian carcinoma, Myocardial infarction"
TMEM150B,"Osteoarthritis, Systemic lupus erythematosus"
TMEM151A,"Prostate carcinoma, Gout, Breast carcinoma, Ovarian carcinoma"
TMEM151B,Rheumatoid arthritis
TMEM155,Psoriasis
TMEM160,Abdominal obesity-metabolic syndrome 1
TMEM161B,Endogenous depression
TMEM163,"Attention deficit hyperactivity disorder, Primary biliary cholangitis"
TMEM165,Heart disease
TMEM169,Hodgkin's lymphoma
TMEM17,"Prostate carcinoma, Crohn's disease"
TMEM170A,"Intracranial aneurysm, Heart disease, Chronic obstructive pulmonary disease, Carotid artery disease, Plantar fascial fibromatosis"
TMEM173,Esophagus squamous cell carcinoma
TMEM174,Crohn's disease
TMEM175,"Bone disease, Primary biliary cholangitis, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
TMEM176A,Carpal tunnel syndrome
TMEM176B,Carpal tunnel syndrome
TMEM178A,Age related macular degeneration
TMEM18,"Attention deficit hyperactivity disorder, Heart disease, Abdominal obesity-metabolic syndrome 1, Obesity"
TMEM180,Allergic rhinitis
TMEM181,"open-angle glaucoma, Attention deficit hyperactivity disorder"
TMEM182,Attention deficit hyperactivity disorder
TMEM183A,Atrial fibrillation
TMEM184B,"Melanoma, Skin benign neoplasm, Skin melanoma"
TMEM187,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
TMEM19,Cleft lip
TMEM190,Osteoarthritis
TMEM192,Ovarian carcinoma
TMEM194A,"Colorectal adenoma, Attention deficit hyperactivity disorder, Asthma, Allergic rhinitis, Abdominal aortic aneurysm, Colorectal cancer"
TMEM194B,"Primary biliary cholangitis, Systemic scleroderma, Myositis, Juvenile rheumatoid arthritis, Systemic lupus erythematosus"
TMEM199,"Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Amyotrophic lateral sclerosis"
TMEM2,Attention deficit hyperactivity disorder
TMEM200C,Attention deficit hyperactivity disorder
TMEM201,Testicular germ cell cancer
TMEM204,Atrial fibrillation
TMEM205,"Hypertension, Breast carcinoma"
TMEM209,Acute pancreatitis
TMEM211,Sclerosing cholangitis
TMEM212,Glaucoma
TMEM213,Sensorineural hearing loss
TMEM215,Neuropathy
TMEM218,"Prostate carcinoma, Testicular germ cell cancer"
TMEM219,"Autism spectrum disorder, Abdominal obesity-metabolic syndrome 1, Dental caries, Bipolar disorder"
TMEM220,"Colorectal adenoma, Colorectal cancer"
TMEM222,Hypertension
TMEM231,"Chronic obstructive pulmonary disease, Plantar fascial fibromatosis"
TMEM232,"Asthma, Allergic rhinitis"
TMEM236,non-alcoholic fatty liver disease
TMEM238,Osteoarthritis
TMEM242,"Attention deficit hyperactivity disorder, post-traumatic stress disorder"
TMEM243,Autism spectrum disorder
TMEM244,"estrogen-receptor negative breast cancer, non-alcoholic fatty liver disease, Breast carcinoma"
TMEM245,Attention deficit hyperactivity disorder
TMEM249,Plantar fascial fibromatosis
TMEM25,"Brain glioma, Sensorineural hearing loss, Celiac disease, Abdominal obesity-metabolic syndrome 1"
TMEM256,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
TMEM258,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Bipolar I disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Aortic valve stenosis, Nasal cavity disease, Asthma, Laryngeal squamous cell carcinoma, Rheumatoid arthritis, Crohn's disease, Colorectal cancer"
TMEM259,"Age related macular degeneration, Kuhnt-Junius degeneration, Primary biliary cholangitis, Basal cell carcinoma"
TMEM260,Attention deficit hyperactivity disorder
TMEM262,"Abdominal obesity-metabolic syndrome 1, Acne"
TMEM263,Swine influenza
TMEM33,"Endogenous depression, Bipolar disorder"
TMEM39A,"Celiac disease, Hypertension, Primary biliary cholangitis, Vitiligo, Systemic scleroderma, Autoimmune thyroiditis, Systemic lupus erythematosus"
TMEM40,Atrial fibrillation
TMEM42,Idiopathic pulmonary fibrosis
TMEM43,Dilated cardiomyopathy
TMEM50B,"Inflammatory bowel disease, Rheumatoid arthritis, Crohn's disease, Psoriasis"
TMEM51,post-traumatic stress disorder
TMEM52,Swine influenza
TMEM55B,Takayasu's arteritis
TMEM59,Hodgkin's lymphoma
TMEM59L,"Attention deficit hyperactivity disorder, Dental caries, Esophagus adenocarcinoma, Gastroesophageal reflux disease, Barrett's esophagus"
TMEM61,"Heart disease, Myocardial infarction, Abdominal aortic aneurysm"
TMEM63C,Attention deficit hyperactivity disorder
TMEM67,Endogenous depression
TMEM69,Sensorineural hearing loss
TMEM71,"Attention deficit hyperactivity disorder, Hyperthyroidism"
TMEM74,Androgenic alopecia
TMEM79,"Testicular cancer, Testicular germ cell cancer, Cerebrovascular disease"
TMEM80,"Primary biliary cholangitis, Hypothyroidism, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
TMEM81,Attention deficit hyperactivity disorder
TMEM86B,Systemic lupus erythematosus
TMEM87B,Bone disease
TMEM88,"Prostate carcinoma, Attention deficit hyperactivity disorder, Uterine fibroid, Skin carcinoma"
TMEM89,"Inflammatory bowel disease, Endogenous depression, Myocardial infarction, Ulcerative colitis, Anorexia nervosa, Crohn's disease"
TMEM8A,"Osteoporosis, Hodgkin's lymphoma"
TMEM8C,"Nicotine dependence, Vascular disease"
TMEM9,"Tooth agenesis, Primary biliary cholangitis"
TMEM91,"Prostate carcinoma, Heart disease, Myocardial infarction, Osteoarthritis, Colorectal cancer"
TMEM95,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
TMEM97,"Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Amyotrophic lateral sclerosis"
TMIE,Heart disease
TMOD1,"Intracranial aneurysm, Esophagus adenocarcinoma, Barrett's esophagus"
TMOD4,"Heart disease, Myocardial infarction"
TMPPE,"Endogenous depression, Asthma, Atopic dermatitis, Allergic rhinitis"
TMPRSS11F,Swine influenza
TMPRSS12,"Androgenic alopecia, Colorectal adenoma, Endogenous depression, Colorectal cancer"
TMPRSS2,"Prostate carcinoma, Melanoma, Skin melanoma"
TMPRSS3,"Celiac disease, Vitiligo, Sclerosing cholangitis, Pancreatic carcinoma, Rheumatoid arthritis"
TMPRSS5,"Chronic lymphocytic leukemia, Endogenous depression"
TMPRSS6,"Vitiligo, Graves' disease, Hypothyroidism, Juvenile rheumatoid arthritis, Autoimmune thyroiditis"
TMPRSS9,Sensorineural hearing loss
TMTC4,Attention deficit hyperactivity disorder
TMUB1,"Hypertension, Heart disease, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease"
TMUB2,Bipolar disorder
TMX2,"Autism spectrum disorder, Endogenous depression"
TNC,"Allergic rhinitis, Osteoarthritis"
TNF,"Cutaneous lupus erythematosus, Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Dengue hemorrhagic fever, Abdominal obesity-metabolic syndrome 1, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Hodgkin's lymphoma, Ulcerative colitis, Crohn's disease, Psoriatic arthritis"
TNFAIP1,"Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Amyotrophic lateral sclerosis"
TNFAIP2,"non-alcoholic fatty liver disease, Primary biliary cholangitis"
TNFAIP3,"Sjogren's syndrome, Skin disease, Systemic scleroderma, Allergic rhinitis, Myositis, Rheumatoid arthritis, Psoriasis, Systemic lupus erythematosus"
TNFAIP8,Allergic rhinitis
TNFAIP8L1,Idiopathic pulmonary fibrosis
TNFAIP8L2,"Heart disease, Myocardial infarction"
TNFRSF10A,"Age related macular degeneration, Kuhnt-Junius degeneration"
TNFRSF10B,"Basal cell carcinoma, Renal cell carcinoma"
TNFRSF10C,"Basal cell carcinoma, Renal cell carcinoma"
TNFRSF10D,"Age related macular degeneration, Kuhnt-Junius degeneration"
TNFRSF11A,"Vitiligo, Myasthenia gravis, Allergic rhinitis, Paget's disease of bone"
TNFRSF11B,Osteoporosis
TNFRSF13B,Multiple myeloma
TNFRSF14,"Diffuse large B-cell lymphoma, Celiac disease, Primary biliary cholangitis, Azoospermia, Sclerosing cholangitis, Hypothyroidism, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis"
TNFRSF17,Stomach carcinoma
TNFRSF19,"Lung carcinoma, Nasopharyngeal disease"
TNFRSF1A,"Colorectal adenoma, Celiac disease, Primary biliary cholangitis, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Crohn's disease, Colorectal cancer"
TNFRSF1B,Allergic rhinitis
TNFRSF4,"Inflammatory bowel disease, Ulcerative colitis"
TNFRSF6B,"Idiopathic pulmonary fibrosis, Inflammatory bowel disease, Marginal zone B-cell lymphoma, Colorectal adenoma, Brain glioma, Prostate carcinoma, Glioblastoma, Atopic dermatitis, Allergic rhinitis, Ulcerative colitis, Crohn's disease, Skin melanoma, Colorectal cancer"
TNFRSF8,"Allergic rhinitis, Psoriasis"
TNFRSF9,"Inflammatory bowel disease, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
TNFSF10,estrogen-receptor negative breast cancer
TNFSF11,"Primary biliary cholangitis, Vitiligo, Hypothyroidism, Autoimmune thyroiditis, Crohn's disease"
TNFSF12,"Atrial fibrillation, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, IgA glomerulonephritis, Central nervous system cancer, Esophagus squamous cell carcinoma"
TNFSF13,"Atrial fibrillation, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, IgA glomerulonephritis, Central nervous system cancer, Esophagus squamous cell carcinoma"
TNFSF14,"Age related macular degeneration, Kuhnt-Junius degeneration"
TNFSF15,"Inflammatory bowel disease, Leprosy, Nephrotic syndrome, Primary biliary cholangitis, Ulcerative colitis, Crohn's disease"
TNFSF18,Myocardial infarction
TNFSF4,"Systemic scleroderma, Allergic rhinitis, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
TNFSF8,"Inflammatory bowel disease, Leprosy, Nephrotic syndrome, Primary biliary cholangitis, Osteoarthritis, Ulcerative colitis, Crohn's disease"
TNIK,Idiopathic scoliosis
TNIP1,"Sjogren's syndrome, Systemic scleroderma, Myositis, Rheumatoid arthritis, Psoriasis, Psoriatic arthritis, Systemic lupus erythematosus"
TNIP2,Hodgkin's lymphoma
